label|source|source_id|source_type|source_url|target_id|target_type
part_of|GENCODE|ENSE00004248723|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248735|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00003582793|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248730|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248721|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248735|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00003582793|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248720|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248726|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248735|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248693|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248694|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248710|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248735|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00003582793|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248694|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248702|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248735|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00003582793|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248703|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248719|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248735|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00003582793|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248715|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248695|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248735|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248728|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248694|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248717|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248735|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248693|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248696|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248709|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248701|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248699|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248709|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248735|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00003582793|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248705|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248709|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248735|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248712|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248694|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248709|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248735|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248693|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248715|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248714|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248735|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248728|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248705|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248716|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248735|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00003582793|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248700|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248708|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248712|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248698|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
part_of|GENCODE|ENSE00004248734|exon|https://www.gencodegenes.org/human/|ENSG00000290825|gene
