label|source|source_id|source_type|source_url|target_id|target_type|taxon_id
parent_pathway_of|REACTOME|R-DME-109581|pathway|https://reactome.org|R-DME-109606|pathway|7227
parent_pathway_of|REACTOME|R-DME-109581|pathway|https://reactome.org|R-DME-5357769|pathway|7227
parent_pathway_of|REACTOME|R-DME-109581|pathway|https://reactome.org|R-DME-75153|pathway|7227
parent_pathway_of|REACTOME|R-DME-109582|pathway|https://reactome.org|R-DME-140877|pathway|7227
parent_pathway_of|REACTOME|R-DME-109582|pathway|https://reactome.org|R-DME-202733|pathway|7227
parent_pathway_of|REACTOME|R-DME-109582|pathway|https://reactome.org|R-DME-418346|pathway|7227
parent_pathway_of|REACTOME|R-DME-109582|pathway|https://reactome.org|R-DME-76002|pathway|7227
parent_pathway_of|REACTOME|R-DME-109582|pathway|https://reactome.org|R-DME-983231|pathway|7227
parent_pathway_of|REACTOME|R-DME-109606|pathway|https://reactome.org|R-DME-111471|pathway|7227
parent_pathway_of|REACTOME|R-DME-109704|pathway|https://reactome.org|R-DME-165158|pathway|7227
parent_pathway_of|REACTOME|R-DME-110313|pathway|https://reactome.org|R-DME-110312|pathway|7227
parent_pathway_of|REACTOME|R-DME-110313|pathway|https://reactome.org|R-DME-110320|pathway|7227
parent_pathway_of|REACTOME|R-DME-110313|pathway|https://reactome.org|R-DME-5655862|pathway|7227
parent_pathway_of|REACTOME|R-DME-110313|pathway|https://reactome.org|R-DME-5656121|pathway|7227
parent_pathway_of|REACTOME|R-DME-110313|pathway|https://reactome.org|R-DME-5656169|pathway|7227
parent_pathway_of|REACTOME|R-DME-110373|pathway|https://reactome.org|R-DME-5651801|pathway|7227
parent_pathway_of|REACTOME|R-DME-110526|pathway|https://reactome.org|R-DME-110478|pathway|7227
parent_pathway_of|REACTOME|R-DME-110526|pathway|https://reactome.org|R-DME-110523|pathway|7227
parent_pathway_of|REACTOME|R-DME-111458|pathway|https://reactome.org|R-DME-9627069|pathway|7227
parent_pathway_of|REACTOME|R-DME-111461|pathway|https://reactome.org|R-DME-111458|pathway|7227
parent_pathway_of|REACTOME|R-DME-111461|pathway|https://reactome.org|R-DME-111459|pathway|7227
parent_pathway_of|REACTOME|R-DME-111465|pathway|https://reactome.org|R-DME-264870|pathway|7227
parent_pathway_of|REACTOME|R-DME-111465|pathway|https://reactome.org|R-DME-351906|pathway|7227
parent_pathway_of|REACTOME|R-DME-111465|pathway|https://reactome.org|R-DME-352238|pathway|7227
parent_pathway_of|REACTOME|R-DME-111471|pathway|https://reactome.org|R-DME-111457|pathway|7227
parent_pathway_of|REACTOME|R-DME-111471|pathway|https://reactome.org|R-DME-111461|pathway|7227
parent_pathway_of|REACTOME|R-DME-111471|pathway|https://reactome.org|R-DME-111469|pathway|7227
parent_pathway_of|REACTOME|R-DME-111885|pathway|https://reactome.org|R-DME-112040|pathway|7227
parent_pathway_of|REACTOME|R-DME-111885|pathway|https://reactome.org|R-DME-180024|pathway|7227
parent_pathway_of|REACTOME|R-DME-111885|pathway|https://reactome.org|R-DME-202040|pathway|7227
parent_pathway_of|REACTOME|R-DME-111931|pathway|https://reactome.org|R-DME-163615|pathway|7227
parent_pathway_of|REACTOME|R-DME-111933|pathway|https://reactome.org|R-DME-111931|pathway|7227
parent_pathway_of|REACTOME|R-DME-111933|pathway|https://reactome.org|R-DME-111932|pathway|7227
parent_pathway_of|REACTOME|R-DME-111933|pathway|https://reactome.org|R-DME-111957|pathway|7227
parent_pathway_of|REACTOME|R-DME-111996|pathway|https://reactome.org|R-DME-111997|pathway|7227
parent_pathway_of|REACTOME|R-DME-111997|pathway|https://reactome.org|R-DME-111933|pathway|7227
parent_pathway_of|REACTOME|R-DME-112040|pathway|https://reactome.org|R-DME-112043|pathway|7227
parent_pathway_of|REACTOME|R-DME-112040|pathway|https://reactome.org|R-DME-170660|pathway|7227
parent_pathway_of|REACTOME|R-DME-112040|pathway|https://reactome.org|R-DME-170670|pathway|7227
parent_pathway_of|REACTOME|R-DME-112043|pathway|https://reactome.org|R-DME-111996|pathway|7227
parent_pathway_of|REACTOME|R-DME-112310|pathway|https://reactome.org|R-DME-181429|pathway|7227
parent_pathway_of|REACTOME|R-DME-112310|pathway|https://reactome.org|R-DME-181430|pathway|7227
parent_pathway_of|REACTOME|R-DME-112310|pathway|https://reactome.org|R-DME-210500|pathway|7227
parent_pathway_of|REACTOME|R-DME-112310|pathway|https://reactome.org|R-DME-212676|pathway|7227
parent_pathway_of|REACTOME|R-DME-112310|pathway|https://reactome.org|R-DME-264642|pathway|7227
parent_pathway_of|REACTOME|R-DME-112310|pathway|https://reactome.org|R-DME-888590|pathway|7227
parent_pathway_of|REACTOME|R-DME-112311|pathway|https://reactome.org|R-DME-380615|pathway|7227
parent_pathway_of|REACTOME|R-DME-112313|pathway|https://reactome.org|R-DME-210455|pathway|7227
parent_pathway_of|REACTOME|R-DME-112314|pathway|https://reactome.org|R-DME-181431|pathway|7227
parent_pathway_of|REACTOME|R-DME-112314|pathway|https://reactome.org|R-DME-399721|pathway|7227
parent_pathway_of|REACTOME|R-DME-112314|pathway|https://reactome.org|R-DME-442755|pathway|7227
parent_pathway_of|REACTOME|R-DME-112314|pathway|https://reactome.org|R-DME-451326|pathway|7227
parent_pathway_of|REACTOME|R-DME-112314|pathway|https://reactome.org|R-DME-977443|pathway|7227
parent_pathway_of|REACTOME|R-DME-112315|pathway|https://reactome.org|R-DME-112310|pathway|7227
parent_pathway_of|REACTOME|R-DME-112315|pathway|https://reactome.org|R-DME-112311|pathway|7227
parent_pathway_of|REACTOME|R-DME-112315|pathway|https://reactome.org|R-DME-112313|pathway|7227
parent_pathway_of|REACTOME|R-DME-112315|pathway|https://reactome.org|R-DME-112314|pathway|7227
parent_pathway_of|REACTOME|R-DME-112316|pathway|https://reactome.org|R-DME-112315|pathway|7227
parent_pathway_of|REACTOME|R-DME-112316|pathway|https://reactome.org|R-DME-1296071|pathway|7227
parent_pathway_of|REACTOME|R-DME-112316|pathway|https://reactome.org|R-DME-6794362|pathway|7227
parent_pathway_of|REACTOME|R-DME-112399|pathway|https://reactome.org|R-DME-109704|pathway|7227
parent_pathway_of|REACTOME|R-DME-112399|pathway|https://reactome.org|R-DME-112412|pathway|7227
parent_pathway_of|REACTOME|R-DME-112409|pathway|https://reactome.org|R-DME-110056|pathway|7227
parent_pathway_of|REACTOME|R-DME-112409|pathway|https://reactome.org|R-DME-112411|pathway|7227
parent_pathway_of|REACTOME|R-DME-113510|pathway|https://reactome.org|R-DME-113501|pathway|7227
parent_pathway_of|REACTOME|R-DME-114508|pathway|https://reactome.org|R-DME-426048|pathway|7227
parent_pathway_of|REACTOME|R-DME-1168372|pathway|https://reactome.org|R-DME-1169091|pathway|7227
parent_pathway_of|REACTOME|R-DME-1168372|pathway|https://reactome.org|R-DME-2025928|pathway|7227
parent_pathway_of|REACTOME|R-DME-1169410|pathway|https://reactome.org|R-DME-8983711|pathway|7227
parent_pathway_of|REACTOME|R-DME-1169410|pathway|https://reactome.org|R-DME-9833482|pathway|7227
parent_pathway_of|REACTOME|R-DME-1187000|pathway|https://reactome.org|R-DME-1300642|pathway|7227
parent_pathway_of|REACTOME|R-DME-1222556|pathway|https://reactome.org|R-DME-8941413|pathway|7227
parent_pathway_of|REACTOME|R-DME-1227986|pathway|https://reactome.org|R-DME-1250196|pathway|7227
parent_pathway_of|REACTOME|R-DME-1227986|pathway|https://reactome.org|R-DME-1963640|pathway|7227
parent_pathway_of|REACTOME|R-DME-1227986|pathway|https://reactome.org|R-DME-1963642|pathway|7227
parent_pathway_of|REACTOME|R-DME-1227986|pathway|https://reactome.org|R-DME-6785631|pathway|7227
parent_pathway_of|REACTOME|R-DME-1227986|pathway|https://reactome.org|R-DME-8863795|pathway|7227
parent_pathway_of|REACTOME|R-DME-1227986|pathway|https://reactome.org|R-DME-9652282|pathway|7227
