label|source_id|source_type|target_id|target_type|taxon_id
child_pathway_of|R-DME-109606|pathway|R-DME-109581|pathway|7227
child_pathway_of|R-DME-5357769|pathway|R-DME-109581|pathway|7227
child_pathway_of|R-DME-75153|pathway|R-DME-109581|pathway|7227
child_pathway_of|R-DME-140877|pathway|R-DME-109582|pathway|7227
child_pathway_of|R-DME-202733|pathway|R-DME-109582|pathway|7227
child_pathway_of|R-DME-418346|pathway|R-DME-109582|pathway|7227
child_pathway_of|R-DME-76002|pathway|R-DME-109582|pathway|7227
child_pathway_of|R-DME-983231|pathway|R-DME-109582|pathway|7227
child_pathway_of|R-DME-111471|pathway|R-DME-109606|pathway|7227
child_pathway_of|R-DME-165158|pathway|R-DME-109704|pathway|7227
child_pathway_of|R-DME-110312|pathway|R-DME-110313|pathway|7227
child_pathway_of|R-DME-110320|pathway|R-DME-110313|pathway|7227
child_pathway_of|R-DME-5655862|pathway|R-DME-110313|pathway|7227
child_pathway_of|R-DME-5656121|pathway|R-DME-110313|pathway|7227
child_pathway_of|R-DME-5656169|pathway|R-DME-110313|pathway|7227
child_pathway_of|R-DME-110362|pathway|R-DME-110373|pathway|7227
child_pathway_of|R-DME-5651801|pathway|R-DME-110373|pathway|7227
child_pathway_of|R-DME-110478|pathway|R-DME-110526|pathway|7227
child_pathway_of|R-DME-110523|pathway|R-DME-110526|pathway|7227
child_pathway_of|R-DME-9627069|pathway|R-DME-111458|pathway|7227
child_pathway_of|R-DME-111458|pathway|R-DME-111461|pathway|7227
child_pathway_of|R-DME-264870|pathway|R-DME-111465|pathway|7227
child_pathway_of|R-DME-351906|pathway|R-DME-111465|pathway|7227
child_pathway_of|R-DME-352238|pathway|R-DME-111465|pathway|7227
child_pathway_of|R-DME-111457|pathway|R-DME-111471|pathway|7227
child_pathway_of|R-DME-111461|pathway|R-DME-111471|pathway|7227
child_pathway_of|R-DME-111469|pathway|R-DME-111471|pathway|7227
child_pathway_of|R-DME-112040|pathway|R-DME-111885|pathway|7227
child_pathway_of|R-DME-180024|pathway|R-DME-111885|pathway|7227
child_pathway_of|R-DME-202040|pathway|R-DME-111885|pathway|7227
child_pathway_of|R-DME-163615|pathway|R-DME-111931|pathway|7227
child_pathway_of|R-DME-111931|pathway|R-DME-111933|pathway|7227
child_pathway_of|R-DME-111932|pathway|R-DME-111933|pathway|7227
child_pathway_of|R-DME-111957|pathway|R-DME-111933|pathway|7227
child_pathway_of|R-DME-111997|pathway|R-DME-111996|pathway|7227
child_pathway_of|R-DME-111933|pathway|R-DME-111997|pathway|7227
child_pathway_of|R-DME-112043|pathway|R-DME-112040|pathway|7227
child_pathway_of|R-DME-170660|pathway|R-DME-112040|pathway|7227
child_pathway_of|R-DME-170670|pathway|R-DME-112040|pathway|7227
child_pathway_of|R-DME-111996|pathway|R-DME-112043|pathway|7227
child_pathway_of|R-DME-181429|pathway|R-DME-112310|pathway|7227
child_pathway_of|R-DME-181430|pathway|R-DME-112310|pathway|7227
child_pathway_of|R-DME-210500|pathway|R-DME-112310|pathway|7227
child_pathway_of|R-DME-212676|pathway|R-DME-112310|pathway|7227
child_pathway_of|R-DME-264642|pathway|R-DME-112310|pathway|7227
child_pathway_of|R-DME-888590|pathway|R-DME-112310|pathway|7227
child_pathway_of|R-DME-379401|pathway|R-DME-112311|pathway|7227
child_pathway_of|R-DME-380615|pathway|R-DME-112311|pathway|7227
child_pathway_of|R-DME-210455|pathway|R-DME-112313|pathway|7227
child_pathway_of|R-DME-181431|pathway|R-DME-112314|pathway|7227
child_pathway_of|R-DME-399721|pathway|R-DME-112314|pathway|7227
child_pathway_of|R-DME-442755|pathway|R-DME-112314|pathway|7227
child_pathway_of|R-DME-451326|pathway|R-DME-112314|pathway|7227
child_pathway_of|R-DME-977443|pathway|R-DME-112314|pathway|7227
child_pathway_of|R-DME-112308|pathway|R-DME-112315|pathway|7227
child_pathway_of|R-DME-112310|pathway|R-DME-112315|pathway|7227
child_pathway_of|R-DME-112311|pathway|R-DME-112315|pathway|7227
child_pathway_of|R-DME-112313|pathway|R-DME-112315|pathway|7227
child_pathway_of|R-DME-112314|pathway|R-DME-112315|pathway|7227
child_pathway_of|R-DME-112315|pathway|R-DME-112316|pathway|7227
child_pathway_of|R-DME-1296071|pathway|R-DME-112316|pathway|7227
child_pathway_of|R-DME-6794362|pathway|R-DME-112316|pathway|7227
child_pathway_of|R-DME-109704|pathway|R-DME-112399|pathway|7227
child_pathway_of|R-DME-112412|pathway|R-DME-112399|pathway|7227
child_pathway_of|R-DME-110056|pathway|R-DME-112409|pathway|7227
child_pathway_of|R-DME-112411|pathway|R-DME-112409|pathway|7227
child_pathway_of|R-DME-113501|pathway|R-DME-113510|pathway|7227
child_pathway_of|R-DME-426048|pathway|R-DME-114508|pathway|7227
child_pathway_of|R-DME-1169091|pathway|R-DME-1168372|pathway|7227
child_pathway_of|R-DME-2025928|pathway|R-DME-1168372|pathway|7227
child_pathway_of|R-DME-1169408|pathway|R-DME-1169410|pathway|7227
child_pathway_of|R-DME-8983711|pathway|R-DME-1169410|pathway|7227
child_pathway_of|R-DME-1300642|pathway|R-DME-1187000|pathway|7227
child_pathway_of|R-DME-8941413|pathway|R-DME-1222556|pathway|7227
child_pathway_of|R-DME-1250196|pathway|R-DME-1227986|pathway|7227
child_pathway_of|R-DME-1963640|pathway|R-DME-1227986|pathway|7227
child_pathway_of|R-DME-1963642|pathway|R-DME-1227986|pathway|7227
child_pathway_of|R-DME-6785631|pathway|R-DME-1227986|pathway|7227
child_pathway_of|R-DME-8863795|pathway|R-DME-1227986|pathway|7227
child_pathway_of|R-DME-9652282|pathway|R-DME-1227986|pathway|7227
child_pathway_of|R-DME-1234158|pathway|R-DME-1234174|pathway|7227
child_pathway_of|R-DME-1234176|pathway|R-DME-1234174|pathway|7227
child_pathway_of|R-DME-1250342|pathway|R-DME-1236394|pathway|7227
child_pathway_of|R-DME-1250347|pathway|R-DME-1236394|pathway|7227
child_pathway_of|R-DME-1251985|pathway|R-DME-1236394|pathway|7227
child_pathway_of|R-DME-1253288|pathway|R-DME-1236394|pathway|7227
child_pathway_of|R-DME-1236973|pathway|R-DME-1236975|pathway|7227
child_pathway_of|R-DME-1236978|pathway|R-DME-1236975|pathway|7227
child_pathway_of|R-DME-198323|pathway|R-DME-1257604|pathway|7227
child_pathway_of|R-DME-198693|pathway|R-DME-1257604|pathway|7227
child_pathway_of|R-DME-199418|pathway|R-DME-1257604|pathway|7227
child_pathway_of|R-DME-6807070|pathway|R-DME-1257604|pathway|7227
