label|source_id|source_type|target_id|target_type
in_tad_region|ENSG00000187634|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000188976|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000187961|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000187583|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000187642|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000188290|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000187608|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000188157|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000237330|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000131591|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000162571|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000186891|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000186827|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000078808|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000176022|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000184163|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000160087|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000162572|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000131584|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000169972|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000127054|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000224051|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000169962|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000107404|gene|CHR1_800000_1350000_GRCH38|tad
in_tad_region|ENSG00000162576|gene|CHR1_1350000_1950000_GRCH38|tad
in_tad_region|ENSG00000175756|gene|CHR1_1350000_1950000_GRCH38|tad
in_tad_region|ENSG00000221978|gene|CHR1_1350000_1950000_GRCH38|tad
in_tad_region|ENSG00000242485|gene|CHR1_1350000_1950000_GRCH38|tad
in_tad_region|ENSG00000235098|gene|CHR1_1350000_1950000_GRCH38|tad
in_tad_region|ENSG00000205116|gene|CHR1_1350000_1950000_GRCH38|tad
in_tad_region|ENSG00000179403|gene|CHR1_1350000_1950000_GRCH38|tad
in_tad_region|ENSG00000215915|gene|CHR1_1350000_1950000_GRCH38|tad
in_tad_region|ENSG00000160072|gene|CHR1_1350000_1950000_GRCH38|tad
in_tad_region|ENSG00000197785|gene|CHR1_1350000_1950000_GRCH38|tad
in_tad_region|ENSG00000205090|gene|CHR1_1350000_1950000_GRCH38|tad
in_tad_region|ENSG00000160075|gene|CHR1_1350000_1950000_GRCH38|tad
in_tad_region|ENSG00000228594|gene|CHR1_1350000_1950000_GRCH38|tad
in_tad_region|ENSG00000197530|gene|CHR1_1350000_1950000_GRCH38|tad
